iter	Passed	Remaining
0	1	192
1	3	174
2	5	169
3	6	159
4	8	162
5	9	156
6	11	156
7	13	157
8	15	157
9	17	155
10	18	153
11	20	150
12	22	148
13	24	148
14	26	148
15	27	146
16	29	142
17	31	142
18	33	140
19	35	140
20	37	139
21	39	139
22	41	139
23	43	139
24	45	136
25	46	132
26	48	131
27	50	130
28	52	129
29	54	127
30	55	124
31	57	122
32	59	121
33	62	120
34	63	118
35	64	115
36	67	114
37	68	111
38	70	109
39	72	108
40	74	106
41	74	103
42	76	101
43	78	99
44	80	98
45	82	96
46	84	95
47	86	93
48	88	92
49	91	91
50	92	89
51	95	87
52	97	86
53	99	85
54	101	82
55	101	80
56	103	78
57	104	76
58	106	73
59	108	72
60	110	70
61	112	69
62	114	67
63	116	65
64	118	63
65	119	61
66	121	59
67	123	58
68	124	56
69	126	54
70	128	52
71	130	50
72	132	48
73	133	46
74	135	45
75	136	43
76	138	41
77	139	39
78	141	37
79	142	35
80	143	33
81	145	31
82	146	30
83	148	28
84	149	26
85	150	24
86	151	22
87	153	20
88	154	19
89	155	17
90	157	15
91	158	13
92	159	12
93	160	10
94	161	8
95	163	6
96	164	5
97	165	3
98	166	1
99	167	0
